Institution,Rank,Class,Country,Size,Academic,Employer,Faculty student,IRN,Citations per paper,Papers per faculty,Staff with PhD,International faculty,International students,Inbound,Outbound
University of Southeastern Philippines,1201-1300,B,Philippines,M,17.7,18.1,7.7,,,1.6,10.2,1.4,1.2,1,1
Vinh University,1201-1300,B,Viet Nam,XL,9.6,12.3,3.5,32.7,9.7,5.1,,,,1,1.1
West Visayas State University,1201-1300,B,Philippines,M,12,7.4,6.4,2.8,13.2,2.9,47.5,3,1.4,1,1
Loei Rajabhat University,1301-1400,B,Thailand,M,10.8,8,7.9,21,,,,,,1,1
Soegijapranata Catholic University,1301-1400,B,Indonesia,M,15.2,7.5,5.3,7.9,5.7,4.6,12.4,,1.6,3,2.3
State University of Medan,1301-1400,B,Indonesia,L,13.7,6.3,11.6,15.2,1.7,5,,,,1,1
SUAN SUNANDHA RAJABHAT UNIVERSITY,1301-1400,B,Thailand,L,7.3,5.8,5.9,21,2.6,7,24.5,16.7,29.8,6.2,3.9
Technological University of the Philippines,1301-1400,B,Philippines,M,12,16.8,9.2,3.4,9,4.2,,,,1,1
Universitas Darussalam Gontor,1301-1400,B,Indonesia,M,7.5,4.3,53.2,,1.2,1.3,,,,1,1
Universitas Dian Nuswantoro,1301-1400,B,Indonesia,L,16,3.7,5.3,5.2,3.2,7.7,7.7,1.8,1.5,1.2,4.5
Universitas Islam Negeri Maulana Malik Ibrahim Malang,1301-1400,B,Indonesia,L,13.7,4.6,13.5,5.1,3.4,3.8,5.2,22.6,14.7,6.8,9.5
Universitas Islam Sultan Agung,1301-1400,B,Indonesia,L,9.5,2.9,20.3,4.5,2,2.5,4,12.2,1.9,56.8,57.4
Universitas Komputer Indonesia,1301-1400,B,Indonesia,M,13.4,6.9,9.1,7.1,1.2,9.7,7.1,2,1.6,2.6,3.3
Universitas Lambung Mangkurat (ULM),1301-1400,B,Indonesia,XL,3.3,2.9,37.7,26.3,1.6,3.5,,,,1,1
UNIVERSITAS MEDAN AREA,1301-1400,B,Indonesia,M,5.4,2.5,4,27.9,3.2,7.9,6.6,,1.5,55.7,8.3
Universitas Muhammadiyah Prof. Dr. HAMKA,1301-1400,B,Indonesia,L,14.3,6.6,6.2,7,4.6,2.8,3.7,,2.6,2.8,4.1
Universitas Muhammadiyah Purwokerto,1301-1400,B,Indonesia,L,13,3.5,3.3,15.1,1.6,4.3,11.9,25.9,4.2,12.3,5.4
Universitas Mulawarman,1301-1400,B,Indonesia,XL,5.8,4.1,11.6,30.2,3,4.8,11.7,,,1,1
Universitas Pembangunan Nasional Veteran Jakarta,1301-1400,B,Indonesia,L,11.8,6.2,16.2,8.6,1.3,2.7,5.6,,1.2,5.7,1
Universitas Pendidikan Ganesha,1301-1400,B,Indonesia,L,11.5,4.5,8.2,7.3,1.9,5.8,21.7,,1.6,37.1,15.4
Universitas Riau,1301-1400,B,Indonesia,XL,16.7,10.7,3.6,9.2,1.8,10.1,,,,1,1
Universitas Tanjungpura,1301-1400,B,Indonesia,XL,12.5,4.1,3.6,18.3,1.8,3.8,7.6,,,1,1
Universiti Islam Antarabangsa Sultan Abdul Halim Mu'adzam Shah (UniSHAMS),1301-1400,B,Malaysia,S,5.6,3.1,12.8,,,2.5,35,97.7,20.7,7.4,3.1
University of Mindanao,1301-1400,B,Philippines,XL,15.6,7.4,2.5,3.7,6.1,1.9,6.7,,1.1,1.4,2.7
Bakrie University,1401-1500,B,Indonesia,S,9.5,3.9,3.4,5.1,1.8,7.9,28.4,8,1.4,16.9,6.8
Bansomdejchaopraya Rajabhat University,1401-1500,B,Thailand,L,3.7,6.8,10.3,1.7,4.1,1.8,,,,1,1
"Batangas State University, The National Engineering University",1401-1500,B,Philippines,XL,6.9,7.4,8.9,7.6,2.2,1.3,,,,1,1
Caraga State University,1401-1500,B,Philippines,L,9.8,12.5,7.3,6.9,2.2,3.2,2.7,,,1,1
Esa Unggul University,1401-1500,B,Indonesia,L,6.5,5,4.2,12.8,2.4,3.3,,,,1,1
Mariano Marcos State University,1401-1500,B,Philippines,L,10.7,1.2,15.5,5.4,,1.3,3,,3.1,1,1
Merdeka University Malang,1401-1500,B,Indonesia,M,7.4,5.3,7.8,7.2,2.3,2.4,,,,1,1
Nakhon Ratchasima Rajabhat University,1401-1500,B,Thailand,L,11.7,6.7,3.6,5.2,5.4,,,,,1,1
Suratthani Rajabhat University,1401-1500,B,Thailand,L,6.9,,41.5,7.6,3.2,1.4,,,1.2,1,1
Tadulako University,1401-1500,B,Indonesia,L,12.1,3.8,5.7,17.6,1.5,2.4,,,,1,1
Ubonratchathani Rajabhat University ,1401-1500,B,Thailand,L,8.3,4.7,,2.6,2.1,,,,,1,1
Universitas Gunadarma,1401-1500,B,Indonesia,L,9.9,16.2,8.6,,1.7,,,,,1,1
Universitas Islam Negeri Sunan Gunung Djati Bandung,1401-1500,B,Indonesia,XL,4.5,,7.2,16.9,1.5,4.8,12.6,,1.6,1,3.8
Universitas Jambi,1401-1500,B,Indonesia,XL,4.2,,3.7,33.3,3.7,6.3,,,,1,1
Universitas Pancasila,1401-1500,B,Indonesia,L,14.4,8.4,4.6,,2.4,4,,,,1,1
"Universitas Pembangunan Nasional ""Veteran"" Jawa Timur",1401-1500,B,Indonesia,L,7.1,12.7,4.2,13.2,1.5,4.4,7.2,,1.1,1,2.6
Universitas Prima Indonesia,1401-1500,B,Indonesia,M,2.9,,28.4,3.3,1.5,3.2,3.7,,6,50,58.6
Universitas Warmadewa,1401-1500,B,Indonesia,M,4,,5.7,12.3,6.1,4.3,10.8,,4,16.8,4.2
University of Science and Technology of Southern Philippines,1401-1500,B,Philippines,L,8.6,8.8,7.3,8.3,7.9,1.4,4.7,1.2,1,1,1.3
Bulacan State University,1501+,B,Philippines,XL,2.8,,3.8,7.6,9.3,1.5,,,,1,1
Ifugao State University,1501+,B,Philippines,M,5.9,1.6,3.4,,,2.1,,,,1,1
Universitas 17 Agustus 1945 Surabaya,1501+,B,Indonesia,S,4.9,3.5,,5.7,1.5,,,,,1,1
Universitas Pembangunan Panca Budi,1501+,B,Indonesia,M,4.7,2.9,6.7,,1.4,2.3,,,,1,1
Universitas Pendidikan Nasional (UNDIKNAS),1501+,B,Indonesia,M,1.5,1,5.7,,2.1,2.7,8.9,4.5,5.9,1,2.3
University of Southern Mindanao,1501+,B,Philippines,L,4.3,,5,9.5,2.6,1.8,4.8,,1,1,1
Western Mindanao State University,1501+,B,Philippines,L,5,,4.4,,1.3,1.9,,,,1,1
Widyagama University of Malang,1501+,B,Indonesia,S,6.3,2.5,,1.7,1.2,,,,,1,1
Widyatama University,1501+,B,Indonesia,M,2,,5.5,2.4,1.3,11.6,13,,2.2,17.5,1
