Institution,Rank,Class,Country,Size,Academic,Employer,Faculty student,IRN,Citations per paper,Papers per faculty,Staff with PhD,International faculty,International students,Inbound,Outbound
Universitas Sebelas Maret (UNS),168,A,Indonesia,XL,67.1,60,62.9,57.8,1.8,12.5,60,64.1,30.6,90.5,99.8
Singapore University of Technology and Design,=169,A,Singapore,S,40,38.6,100,78.2,100,49.1,,,,99.9,100
Khon Kaen University,171,A,Thailand,XL,71.6,62,23.5,93.4,15.2,22.5,82.6,16.8,11,36.9,33.5
Viet Nam National University Ho Chi Minh City (VNU-HCM),175,A,Viet Nam,XL,76.2,86.3,13,87.8,16.9,11.1,20.8,19.2,2.2,8.6,2.5
De La Salle University,=178,A,Philippines,L,79.2,93.6,14.9,68.7,8.9,20.9,6.8,6.8,14.9,1,1
Prince of Songkla University,=178,A,Thailand,XL,79.1,44.2,38.5,92.6,23.6,15.8,71.5,19.3,8.7,5.3,18.4
University of Santo Tomas,=184,A,Philippines,XL,61.1,87,22.1,55.2,12.9,3.2,10.4,69.9,30.4,93.5,100
King Mongkut's University of Technology Thonburi,=192,A,Thailand,L,62,47.9,34.5,86.7,44.9,29.5,75.9,29.3,24.6,19,12
Lincoln University College,196,A,Malaysia,S,39.5,67.2,95.2,18.6,2.6,5.3,95.3,100,100,100,100
Universiti Malaysia Sarawak (UNIMAS),=197,A,Malaysia,M,60.6,46.2,33.5,78.9,12.8,21.5,63.8,75.1,54.3,89.4,83.6
Universitas Hasanuddin,=201,A,Indonesia,XL,71.1,52.9,91.9,56.9,1.6,6.1,25,29.8,10.4,40.2,34.3
Universiti Malaysia Sabah (UMS),=214,A,Malaysia,L,64,49.2,35.8,76,11.3,17,54.3,51.4,38.6,54.3,23.1
Ton Duc Thang University,231,A,Viet Nam,L,26,43.6,19.4,99.8,100,41.5,7.4,20,5.5,87.3,95.1
Universiti Tun Hussein Onn  Malaysia (UTHM),=243,A,Malaysia,L,48.8,41,21.3,87.2,12.9,55.9,91.4,17.7,38.2,28.2,11.2
Shinawatra University,250,A,Thailand,S,39.9,33.7,99.9,7.5,,1.5,86.8,100,100,100,100
Van Lang University,=251,A,Viet Nam,L,52.2,36.1,50.9,86.8,29.8,3.7,8.8,26.9,2.6,84.8,27.5
Telkom University,257,A,Indonesia,L,46.7,50.6,39.5,47.6,1.9,18.9,27.5,83,38.4,98.7,99
UNIVERSITI TEKNIKAL MALAYSIA MELAKA,=262,A,Malaysia,M,38.3,38.5,40.6,77.6,8.8,36.1,79.1,14.1,34.9,79.6,78.9
Universitas Sumatera Utara,=268,A,Indonesia,XL,50.1,43.8,80.9,70.4,1.5,7.7,9.2,34.3,8.3,43.7,23.3
Universiti Malaysia Perlis,=268,A,Malaysia,M,39.2,32.8,52.2,88.6,5.3,52.5,81.6,3.4,17.1,49.1,50.6
Ho Chi Minh City University of Technology (HUTECH),=287,A,Viet Nam,L,27.1,38.7,56.8,77.8,99.7,3.9,6,12.3,8,20.1,23.9
King Mongkut's Institute of Technology Ladkrabang,292,A,Thailand,L,46.6,39,13,57.3,3.8,25.8,77.7,61.4,14.7,97.4,95.3
IMU University,=303,A,Malaysia,S,22.8,26.9,74.6,48.3,65.7,15.5,56.4,96.4,84.5,19.8,14.9
Hanoi University of Science and Technology,315,A,Viet Nam,XL,45.5,49.6,6.4,62.7,10.3,31.7,81.8,14.9,3.2,39.5,35
"University of Economics Ho Chi Minh City, Viet Nam",=318,A,Viet Nam,L,17.7,53.2,6,75.7,100,7.4,46.5,55.5,2.4,15.5,10.9
King Mongkut's University of Technology North Bangkok (KMUTNB),=347,A,Thailand,L,46.1,40.2,10.7,73.6,17,24.7,67.7,9.7,3,1.6,1.5
SEGi UNIVERSITY,350,A,Malaysia,M,27.8,42,68.7,23.5,6.5,4.2,19.3,92.8,100,99.5,74.6
Industrial University of Ho Chi Minh City (IUH),=355,A,Viet Nam,L,48,48.1,14.1,42.1,19.4,8.3,13.7,38.7,10.4,48.1,46.5
Silpakorn University ,381,A,Thailand,L,38.7,42.1,11.7,67.8,20.3,9.7,49.9,20.9,8.5,35.2,15.7
AIMST UNIVERSITY,=385,A,Malaysia,S,24.2,16.6,81.6,26.2,45.8,8.9,52.6,99.6,7.7,66,56.5
Universitas Pendidikan Indonesia,=391,A,Indonesia,XL,56.6,22,31.6,57,3.7,7.8,11.4,40.9,7.8,48.7,22.6
Suranaree University of Technology,=396,A,Thailand,L,38.1,24.7,12.5,68.6,27,34.5,88.3,19.2,7.4,9.5,2.1
Universitas Andalas,=396,A,Indonesia,XL,48,29.6,43.6,21.3,1.6,4.7,17.3,34.9,12.2,100,100
Universiti Kuala Lumpur (UniKL),=396,A,Malaysia,L,37.2,37.4,51.5,53.3,11.9,10.7,11.7,18.6,17.6,65.5,13.2
MILA University,=414,A,Malaysia,S,24.1,10.5,99.7,17.6,33.9,9.5,45.7,86,99.9,69.3,1
Universitas Negeri Yogyakarta,=425,A,Indonesia,L,55.2,25.2,24.5,36.2,1.8,9.2,24.6,43.1,9.1,23.9,59.2
Universiti Malaysia Kelantan,=427,A,Malaysia,M,33.1,14.1,14.6,66,10.3,31.5,70,39.9,38.8,83.2,69.9
University of Cyberjaya,=434,A,Malaysia,S,27.4,23.3,70.7,25.4,9.5,4.4,9.5,50.5,97.9,81.6,97.4
Nguyen Tat Thanh University (NTTU),=437,A,Viet Nam,XL,15.3,33.6,12.1,84.5,99.9,10.9,9.1,2,3.5,1.2,1.5
Atma Jaya Catholic University of Indonesia,=439,A,Indonesia,M,40.3,37.6,20.2,25.9,4.9,7.1,28.2,25,4.1,99.9,92.9
University of Da Nang,=439,A,Viet Nam,XL,28.9,41.1,6.8,85.9,35.3,6.6,27.4,9.2,7.2,4.8,3.1
Universitas Muhammadiyah Sumatera Utara (UMSU),=445,A,Indonesia,L,66.2,9.3,22.8,5.4,1.5,2.5,16.9,48.5,3.4,90.8,100
Hue University,=450,A,Viet Nam,XL,31.1,50.5,7.3,69.2,20.6,5.1,14.7,4,5.5,33.5,7.1
Adamson University ,464,A,Philippines,M,53.5,35.9,11.9,16.8,9.4,3,5.4,34.9,21.6,55,23.7
Maejo University,469,A,Thailand,L,23.3,17.8,38.7,40,79.8,6.2,,2.4,6.1,96.9,44
Universitas Multimedia Nusantara (UMN),=474,A,Indonesia,M,65.5,9.4,48.4,6.1,1.6,2.9,1.9,3.3,8.5,80.2,21
